Distrito,Desempleo_Pct,Pobreza_Pct,Iluminacion_Publica,Presencia_Policial,Camaras_Vigilancia,Pandillaje_Indice,Trafico_Drogas_Indice,Violencia_Familiar_Pct,Informalidad_Laboral_Pct,Abandono_Escolar_Pct,Percepcion_Inseguridad,Hora_Evento,Tipo_Evento
Callao,10.45,44.85,53.75,2.96,40,2.42,7.14,4.56,33.95,17.67,7.65,14,Robo
San Juan de Lurigancho,6.64,15.83,54.85,0.78,60,4.25,2.15,18.72,61.64,8.07,4.0,17,Microcomercializacion Drogas
Los Olivos,11.39,16.33,87.21,2.29,64,2.53,9.88,10.16,73.95,9.12,2.86,10,Violencia Familiar
San Juan de Lurigancho,17.71,41.61,91.59,0.66,58,4.54,6.3,8.95,69.38,9.12,4.98,10,Homicidio
Comas,17.02,16.7,66.64,0.6,3,5.9,4.08,15.15,21.98,4.99,3.53,2,Asalto
Comas,9.95,41.96,46.71,2.82,73,9.43,7.47,22.18,77.85,9.48,8.25,0,Hurto
Independencia,12.41,15.2,84.55,0.84,87,7.89,3.08,27.59,86.7,7.21,4.19,9,Hurto
San Juan de Lurigancho,8.42,41.14,44.66,4.23,38,1.94,8.59,20.95,78.65,17.32,7.74,21,Hurto
Villa El Salvador,9.99,33.88,63.09,2.7,44,1.65,0.02,22.12,71.27,10.78,2.45,0,Hurto
Cercado de Lima,17.99,9.86,78.08,3.12,33,5.19,6.08,8.87,24.04,8.43,3.11,14,Pandillaje
Independencia,13.48,27.28,64.95,2.43,18,6.79,4.12,23.1,34.26,7.22,5.92,0,Violencia Familiar
San Juan de Lurigancho,11.43,42.33,66.35,4.91,16,2.06,3.92,27.08,34.3,10.65,4.77,16,Violencia Familiar
Callao,14.45,21.32,93.14,1.5,25,2.53,0.1,22.26,57.5,16.89,8.39,15,Hurto
Los Olivos,7.85,26.26,70.63,4.19,40,8.83,4.66,4.12,47.15,16.27,9.12,15,Robo
Independencia,17.91,20.58,72.51,4.86,91,5.46,9.82,14.61,55.94,19.8,3.08,9,Hurto
Los Olivos,4.19,34.17,76.5,3.68,3,4.64,7.23,20.39,69.61,1.16,2.96,16,Asalto
Comas,16.14,26.94,43.99,3.95,57,7.82,7.52,24.48,56.26,3.67,7.04,11,Pandillaje
San Martín de Porres,14.26,18.88,63.45,1.21,15,7.59,5.97,20.32,82.24,12.0,6.69,9,Hurto
Villa María del Triunfo,9.57,28.54,51.12,3.2,1,4.25,9.08,16.2,33.15,2.46,7.27,11,Asalto
San Martín de Porres,14.21,36.85,56.32,3.62,66,9.39,6.36,11.09,38.87,4.63,7.25,12,Violencia Familiar
San Martín de Porres,7.5,31.48,88.9,4.0,22,9.83,7.87,23.66,72.35,3.86,2.96,4,Hurto
Villa María del Triunfo,10.06,40.54,89.46,3.34,45,6.67,3.23,27.14,82.17,7.18,9.11,7,Violencia Familiar
Comas,17.36,14.96,74.6,0.8,47,8.27,9.03,28.14,76.09,13.81,1.05,2,Violencia Familiar
San Juan de Lurigancho,19.34,40.67,90.95,2.33,29,3.13,6.54,8.5,21.01,15.52,6.61,3,Robo
Cercado de Lima,12.58,29.98,91.87,3.14,24,0.69,6.38,22.52,67.33,3.63,6.21,15,Violencia Familiar
Independencia,9.45,19.86,77.11,3.35,4,9.96,9.81,20.19,76.31,14.59,6.34,10,Homicidio
Comas,9.16,39.55,46.6,4.66,43,5.0,6.91,21.52,65.4,6.23,2.41,6,Violencia Familiar
Independencia,14.99,23.21,80.07,4.27,13,0.61,6.85,2.7,32.0,9.62,5.09,19,Homicidio
Los Olivos,13.86,43.14,92.9,3.13,48,2.77,9.21,18.33,61.5,7.74,1.47,7,Robo
Cercado de Lima,4.44,29.27,92.86,4.47,61,5.97,5.02,29.33,67.84,8.13,8.2,8,Homicidio
Ate,6.68,32.65,76.18,3.29,78,8.47,0.62,11.39,24.69,19.53,8.35,9,Homicidio
Los Olivos,12.38,36.58,64.97,1.26,19,0.55,9.42,4.09,50.69,11.07,9.87,7,Robo
Independencia,5.64,13.29,77.83,1.49,55,1.3,2.56,11.95,67.18,2.19,2.89,21,Homicidio
Comas,8.82,39.59,49.3,0.87,1,8.29,7.07,19.28,30.92,10.09,8.03,13,Hurto
San Martín de Porres,4.4,23.38,58.39,4.2,52,4.19,4.58,22.3,60.2,13.68,7.99,14,Hurto
San Martín de Porres,17.28,44.58,93.37,2.17,90,5.23,4.71,20.37,59.17,14.05,6.92,2,Pandillaje
San Martín de Porres,14.88,21.65,70.83,4.56,80,8.18,5.1,22.61,55.9,17.52,4.62,6,Homicidio
Villa María del Triunfo,5.24,39.19,49.92,4.34,2,1.83,8.26,10.0,84.9,19.43,6.14,5,Hurto
Los Olivos,18.96,40.76,60.25,3.78,92,7.96,1.75,20.84,35.44,5.15,8.87,6,Asalto
Ate,3.01,39.83,87.56,3.32,76,2.32,2.65,17.52,33.97,6.59,3.13,12,Homicidio
Independencia,6.53,14.53,94.51,2.61,27,7.61,1.54,15.64,50.1,12.34,10.0,17,Asalto
Comas,5.9,6.22,52.27,2.03,39,2.27,6.7,15.11,74.15,3.34,6.64,0,Homicidio
Callao,17.27,11.43,41.5,2.52,8,3.36,4.66,23.65,84.05,4.59,9.3,11,Asalto
Independencia,6.4,7.22,74.11,3.43,96,2.37,6.77,17.84,85.04,8.36,1.6,4,Microcomercializacion Drogas
Los Olivos,11.92,36.01,54.07,2.05,48,3.32,2.94,3.16,64.6,12.35,6.88,23,Hurto
Comas,13.53,28.99,70.38,2.08,48,2.82,9.63,2.29,70.12,14.42,6.6,13,Microcomercializacion Drogas
Los Olivos,5.42,17.53,90.97,0.9,47,8.35,9.35,7.2,46.08,18.64,1.56,8,Hurto
Independencia,13.12,11.02,98.08,2.51,33,1.89,0.05,3.68,83.33,13.3,3.46,18,Microcomercializacion Drogas
Villa El Salvador,4.95,42.66,87.05,2.58,52,2.49,7.17,25.97,44.97,15.39,3.66,15,Pandillaje
San Juan de Lurigancho,10.48,34.19,96.41,3.22,83,8.31,1.2,22.58,57.2,6.47,5.44,13,Violencia Familiar
Callao,5.79,9.66,72.8,4.56,46,0.15,5.81,4.96,81.11,10.94,7.3,7,Violencia Familiar
Callao,19.03,8.31,55.24,4.01,52,4.64,1.19,29.46,35.03,2.28,6.35,0,Violencia Familiar
Los Olivos,14.2,26.29,46.2,1.28,71,2.96,9.38,24.92,88.85,5.93,9.73,20,Hurto
Comas,3.86,7.11,81.52,2.56,39,9.89,5.74,5.86,68.21,18.06,7.71,21,Pandillaje
Independencia,5.69,7.07,73.44,1.2,37,4.67,4.82,25.55,35.49,8.24,8.28,21,Microcomercializacion Drogas
San Juan de Lurigancho,7.69,13.17,41.01,3.56,57,6.84,5.32,2.91,53.29,8.75,2.45,17,Homicidio
San Juan de Lurigancho,18.78,38.79,53.44,1.58,14,6.13,9.38,20.53,25.38,7.74,5.96,15,Robo
Independencia,13.4,19.94,55.32,0.98,31,7.5,5.32,17.06,39.47,5.12,3.59,7,Robo
Ate,10.13,11.73,92.76,3.01,7,5.02,7.31,28.83,35.43,17.84,9.41,18,Violencia Familiar
Callao,7.86,8.65,58.89,0.69,92,3.98,4.44,27.02,66.06,1.15,9.49,13,Robo
San Martín de Porres,11.51,22.35,54.97,2.96,72,3.08,5.73,11.11,22.75,6.17,1.06,16,Pandillaje
Ate,6.98,13.44,91.43,4.19,34,9.47,4.0,23.93,38.61,19.82,1.23,11,Pandillaje
San Juan de Lurigancho,10.33,17.18,51.89,0.8,46,4.2,4.97,27.67,74.34,3.48,6.09,14,Microcomercializacion Drogas
Cercado de Lima,4.43,20.72,46.01,0.57,77,1.6,3.36,4.15,36.45,16.77,9.53,6,Robo
Comas,18.75,21.79,43.04,0.68,17,8.58,7.31,28.51,74.71,6.96,3.23,9,Violencia Familiar
Ate,19.55,26.77,56.51,3.69,71,9.04,3.75,17.4,23.54,9.1,8.49,16,Robo
San Juan de Lurigancho,6.84,37.69,95.82,0.93,27,0.51,6.26,10.05,39.58,7.31,6.97,19,Asalto
Villa El Salvador,15.37,24.38,81.63,2.99,76,5.72,8.05,23.28,30.77,3.84,3.41,3,Asalto
Comas,3.96,6.39,63.51,3.64,12,2.47,9.76,11.65,43.61,6.93,2.1,18,Violencia Familiar
Villa María del Triunfo,17.88,36.62,48.47,2.96,49,3.97,1.56,22.66,45.23,13.75,3.44,1,Robo
Callao,5.66,44.54,98.64,4.07,34,5.78,8.66,10.1,52.74,12.77,4.7,1,Violencia Familiar
Independencia,12.59,39.02,52.09,4.7,87,8.23,5.56,23.83,21.13,16.55,1.36,0,Asalto
San Juan de Lurigancho,14.09,36.24,87.49,3.21,3,1.03,1.26,29.42,67.17,17.09,3.92,9,Homicidio
Villa María del Triunfo,13.25,32.3,74.52,2.43,37,1.43,0.18,14.99,86.01,7.15,6.95,21,Robo
Villa El Salvador,14.06,13.49,47.32,3.66,26,7.34,3.41,15.4,85.02,7.31,5.19,8,Violencia Familiar
Callao,7.4,6.11,77.88,2.42,35,1.75,2.96,20.59,87.57,1.96,9.01,19,Violencia Familiar
Independencia,9.17,26.87,90.39,1.07,33,9.17,4.07,6.01,70.03,6.57,5.73,15,Homicidio
Independencia,16.47,32.05,80.78,4.76,66,2.54,7.56,4.29,84.7,7.19,2.15,6,Robo
Villa María del Triunfo,14.64,41.11,90.24,1.07,45,1.35,0.94,25.28,84.29,13.35,1.93,19,Violencia Familiar
San Juan de Lurigancho,3.23,17.91,73.26,1.17,61,5.4,8.51,28.81,59.6,10.77,1.77,21,Pandillaje
Villa El Salvador,9.61,14.61,45.7,1.92,86,0.81,8.3,29.35,48.33,2.67,1.59,19,Violencia Familiar
San Juan de Lurigancho,8.44,24.06,59.1,2.7,83,6.82,3.15,5.73,64.27,3.44,6.21,11,Asalto
Ate,15.81,39.91,70.0,3.79,44,7.8,6.74,23.49,41.53,10.35,8.17,10,Robo
Ate,12.37,25.94,56.94,1.84,76,5.41,0.86,3.6,27.38,12.13,5.9,13,Robo
Cercado de Lima,16.94,6.66,69.89,3.6,45,5.99,6.53,6.31,88.39,11.35,2.22,14,Asalto
San Martín de Porres,10.93,12.6,82.1,3.0,42,9.42,5.3,22.51,84.69,19.53,8.5,21,Asalto
Villa María del Triunfo,13.68,42.23,80.57,1.88,91,9.35,2.51,5.37,60.92,19.42,4.4,21,Hurto
San Juan de Lurigancho,11.6,11.48,79.49,4.99,79,1.14,9.41,26.43,51.65,19.73,1.0,14,Pandillaje
Villa María del Triunfo,14.02,7.46,88.82,4.73,21,1.35,1.98,7.05,38.37,10.98,2.0,19,Hurto
Villa El Salvador,14.49,6.52,77.2,3.64,3,5.52,5.95,26.41,60.39,7.56,8.23,17,Violencia Familiar
Callao,9.74,16.85,48.61,1.18,58,3.72,6.14,16.66,42.34,9.93,5.52,21,Violencia Familiar
Ate,16.32,16.08,96.45,1.06,57,9.88,3.26,13.04,62.23,16.23,5.23,17,Violencia Familiar
Villa El Salvador,3.18,40.8,48.95,4.04,93,0.22,9.83,4.41,77.01,6.33,2.19,14,Asalto
San Martín de Porres,9.48,7.18,75.97,4.56,37,2.16,4.43,3.35,77.43,16.7,6.29,16,Pandillaje
Independencia,12.43,38.04,77.89,4.03,56,0.15,2.47,26.26,31.52,8.89,1.13,16,Violencia Familiar
Villa María del Triunfo,4.01,29.17,85.82,2.86,73,5.43,3.74,19.51,20.86,3.72,7.68,14,Violencia Familiar
Villa María del Triunfo,11.7,24.33,62.97,4.28,83,4.74,0.07,2.72,58.73,10.89,9.95,8,Asalto
Villa El Salvador,3.83,8.92,42.64,1.33,23,5.25,4.51,11.25,61.25,9.63,5.06,17,Hurto
San Juan de Lurigancho,16.54,35.27,80.83,1.25,22,9.9,6.84,28.57,29.98,8.26,5.99,17,Violencia Familiar
Callao,3.94,18.25,85.96,2.36,95,0.24,3.35,6.96,26.89,19.18,6.39,15,Homicidio
San Martín de Porres,9.68,14.48,45.82,1.31,81,6.78,5.47,15.3,84.57,2.38,3.53,22,Microcomercializacion Drogas
Los Olivos,8.52,32.49,97.7,3.79,87,3.99,4.1,29.39,32.66,16.18,4.01,22,Hurto
San Juan de Lurigancho,17.15,37.17,91.99,0.77,25,8.9,6.52,14.87,67.3,12.75,6.12,21,Robo
Los Olivos,9.73,10.32,49.52,4.77,84,4.34,1.28,13.45,44.81,6.75,7.58,10,Violencia Familiar
Comas,12.79,11.46,68.3,2.99,44,2.25,0.69,25.17,37.82,9.99,1.39,5,Asalto
Villa El Salvador,12.65,36.85,84.1,3.25,76,4.41,3.17,27.53,24.27,14.19,2.64,17,Asalto
Callao,7.12,8.65,59.12,0.97,2,1.74,4.72,4.56,63.8,11.46,4.67,12,Hurto
San Juan de Lurigancho,6.34,5.9,91.7,3.1,88,3.16,6.27,24.64,62.82,6.62,3.3,9,Asalto
Comas,6.08,36.63,63.08,2.46,44,5.88,4.26,19.23,25.71,2.67,2.55,19,Violencia Familiar
Independencia,9.81,37.47,40.83,3.42,8,3.09,2.94,9.45,43.29,11.59,7.36,4,Asalto
Comas,18.06,37.64,41.14,3.81,60,2.87,8.8,3.38,36.18,18.05,3.31,2,Microcomercializacion Drogas
Cercado de Lima,17.6,25.0,80.49,1.58,72,7.6,3.13,13.5,34.68,19.55,6.81,22,Hurto
Cercado de Lima,16.29,35.63,81.5,4.85,54,1.31,6.72,22.42,60.25,4.93,5.54,2,Asalto
Villa María del Triunfo,8.33,30.44,63.9,0.53,61,7.83,9.09,12.37,72.59,18.04,8.62,16,Pandillaje
Ate,9.4,18.57,43.75,2.69,50,2.49,3.17,24.65,81.28,6.75,8.73,9,Microcomercializacion Drogas
Callao,18.5,8.9,91.2,1.98,54,5.01,6.46,16.3,28.4,6.93,8.22,5,Robo
Los Olivos,19.19,18.15,79.74,3.88,71,8.71,2.89,23.93,76.23,19.74,6.38,7,Pandillaje
Ate,13.62,30.53,58.43,4.37,0,4.75,8.49,12.74,31.78,16.89,5.94,17,Asalto
Villa El Salvador,11.69,29.17,67.65,4.23,95,9.32,9.34,13.26,52.82,14.41,9.3,16,Hurto
Ate,4.91,21.31,93.18,0.71,69,3.5,8.62,8.53,68.66,12.96,8.77,1,Microcomercializacion Drogas
Ate,12.25,44.03,62.15,2.11,92,5.21,4.41,26.64,55.39,10.65,2.25,7,Hurto
Comas,4.25,31.53,75.72,2.37,84,4.11,8.18,27.06,79.73,13.8,2.24,15,Hurto
Comas,18.82,31.43,84.78,1.9,88,4.35,9.21,11.66,23.83,4.88,4.77,1,Robo
Ate,11.72,16.26,89.33,3.89,96,7.24,9.29,14.06,28.34,10.74,4.14,10,Microcomercializacion Drogas
San Juan de Lurigancho,15.22,9.42,42.14,4.97,79,2.33,7.5,9.69,63.73,2.54,5.07,16,Violencia Familiar
San Martín de Porres,16.86,40.1,86.39,3.52,29,7.78,4.61,29.69,53.83,19.75,7.79,21,Pandillaje
Ate,19.87,39.3,45.84,3.68,77,8.59,3.26,28.71,28.53,1.35,9.14,5,Homicidio
Villa María del Triunfo,7.1,14.34,44.09,1.34,62,0.61,2.24,12.17,50.71,19.57,8.27,18,Asalto
Comas,17.28,18.57,82.53,4.97,37,3.2,1.64,23.93,28.57,13.06,2.11,11,Robo
Comas,6.23,37.85,72.68,0.85,50,4.77,7.38,5.89,50.8,10.17,2.91,0,Microcomercializacion Drogas
San Juan de Lurigancho,16.93,40.53,51.95,1.78,78,8.78,9.53,23.13,51.18,12.25,7.31,17,Hurto
Villa El Salvador,17.11,31.19,64.67,3.49,57,0.87,3.77,13.58,22.79,6.21,9.6,11,Homicidio
San Juan de Lurigancho,3.73,12.16,63.53,4.77,60,5.04,8.29,16.23,63.42,10.08,5.3,2,Pandillaje
San Martín de Porres,13.77,23.01,71.87,3.86,57,6.25,8.08,3.93,43.44,6.96,6.72,6,Violencia Familiar
Cercado de Lima,13.14,37.58,62.93,1.1,73,9.68,6.58,17.8,85.31,12.14,5.73,16,Robo
Comas,11.03,20.13,71.04,2.36,88,6.84,0.25,21.32,42.13,2.06,6.49,10,Robo
Callao,4.37,10.89,57.88,0.9,56,0.06,4.84,5.45,41.54,18.6,2.46,15,Pandillaje
Cercado de Lima,15.61,26.87,93.07,2.99,16,1.95,1.66,27.66,42.95,8.07,7.84,3,Homicidio
Ate,12.91,28.16,43.27,1.91,26,4.65,2.27,22.83,84.34,9.05,4.08,16,Asalto
Villa El Salvador,6.24,41.69,73.21,1.85,75,8.12,3.42,14.14,79.39,7.9,8.15,20,Violencia Familiar
Ate,16.69,38.8,63.7,0.73,9,0.63,3.87,18.34,52.49,12.76,5.32,6,Violencia Familiar
Cercado de Lima,6.47,16.68,84.92,2.67,62,1.06,5.31,13.08,62.92,16.31,3.7,11,Violencia Familiar
Independencia,14.57,31.67,70.66,2.43,39,0.39,9.77,8.79,66.43,16.94,5.96,19,Microcomercializacion Drogas
Los Olivos,11.37,33.03,91.33,2.38,82,3.42,6.48,3.92,82.82,3.27,3.95,21,Asalto
Los Olivos,6.26,27.22,75.04,1.43,52,0.88,7.77,25.73,32.73,9.18,2.49,22,Microcomercializacion Drogas
Callao,13.8,12.86,52.7,0.69,20,8.37,7.04,28.0,71.71,6.82,3.39,9,Homicidio
San Martín de Porres,7.4,7.11,83.57,1.05,61,8.12,4.82,3.6,32.22,14.44,7.41,3,Pandillaje
Los Olivos,18.68,35.49,75.5,1.36,50,4.87,0.25,8.97,48.55,6.31,2.23,3,Robo
Ate,7.38,35.98,63.13,2.78,53,7.5,8.05,5.83,24.88,17.97,4.49,8,Hurto
Villa María del Triunfo,17.22,39.5,58.96,4.33,61,0.12,5.53,22.74,53.95,2.62,9.75,23,Robo
Callao,7.02,24.34,65.75,0.84,56,4.57,8.46,5.2,37.87,16.73,4.4,9,Violencia Familiar
San Martín de Porres,3.62,7.11,90.05,1.03,63,5.48,9.44,9.02,27.04,8.47,6.55,18,Pandillaje
Villa María del Triunfo,14.11,19.01,77.03,4.48,52,0.99,7.67,29.06,87.91,17.44,6.41,7,Violencia Familiar
Cercado de Lima,13.72,23.23,68.92,3.91,53,1.7,0.96,13.74,27.93,4.27,5.93,21,Hurto
Los Olivos,17.48,27.37,70.88,0.95,74,7.43,5.33,26.1,68.64,1.2,4.55,23,Hurto
San Martín de Porres,12.89,35.65,64.38,4.46,4,1.92,7.19,9.6,42.14,17.05,5.29,6,Pandillaje
Los Olivos,8.12,12.36,85.39,2.63,10,6.96,9.44,29.87,51.52,5.8,4.99,6,Hurto
San Martín de Porres,19.19,18.67,99.15,4.27,30,0.21,0.34,14.48,77.17,17.82,1.78,11,Asalto
Ate,9.6,38.18,48.02,4.71,76,4.45,4.88,24.77,26.95,9.14,6.66,6,Violencia Familiar
Independencia,18.7,44.9,41.95,1.56,14,0.64,3.87,9.92,41.31,19.68,6.78,7,Hurto
San Martín de Porres,9.41,37.07,66.07,4.41,17,7.41,5.43,20.3,39.18,12.27,5.4,12,Hurto
Cercado de Lima,18.71,14.22,57.35,2.16,95,3.55,4.0,3.61,60.83,17.8,2.37,16,Hurto
San Martín de Porres,10.13,33.04,64.64,2.77,1,9.34,1.31,24.33,55.56,15.26,3.8,10,Violencia Familiar
Independencia,10.94,19.39,72.17,3.73,26,4.57,4.75,12.81,87.67,14.25,1.75,17,Violencia Familiar
San Juan de Lurigancho,4.89,6.22,83.61,4.43,57,8.26,5.58,3.53,88.03,10.74,3.62,17,Homicidio
Los Olivos,8.18,12.71,47.74,1.84,51,9.73,2.01,2.27,25.27,8.14,8.38,22,Homicidio
Cercado de Lima,8.6,7.1,67.01,1.65,90,9.84,0.5,4.71,70.43,6.35,2.66,20,Robo
San Juan de Lurigancho,16.17,10.38,68.06,3.23,37,4.57,2.9,17.73,27.84,12.58,6.12,10,Violencia Familiar
Cercado de Lima,7.26,25.39,94.53,4.03,90,6.15,9.27,28.94,55.63,9.6,3.51,4,Robo
Comas,8.51,43.09,89.42,3.69,2,8.21,3.92,14.53,71.1,7.8,1.58,19,Hurto
Comas,8.15,43.66,96.68,2.01,76,3.47,7.94,19.51,85.63,13.91,6.13,9,Homicidio
Ate,16.4,5.96,72.05,3.6,18,7.33,9.95,10.05,57.68,11.13,4.65,12,Robo
Callao,17.51,24.93,76.19,1.52,50,1.04,2.95,4.54,66.76,3.53,8.67,10,Robo
San Juan de Lurigancho,18.23,6.16,54.38,0.65,59,7.94,5.76,11.58,76.7,5.53,3.02,0,Hurto
San Martín de Porres,11.69,22.82,98.02,3.07,17,6.54,8.73,8.84,51.51,18.59,6.94,3,Robo
Villa María del Triunfo,7.46,28.25,83.09,1.06,50,9.58,2.48,11.75,82.69,19.37,4.99,11,Robo
Villa María del Triunfo,7.54,9.78,53.82,0.98,78,3.86,3.53,10.84,54.37,7.09,2.73,5,Microcomercializacion Drogas
San Martín de Porres,9.99,22.79,74.59,4.93,67,4.05,0.03,25.8,46.66,10.42,1.07,17,Violencia Familiar
Cercado de Lima,7.73,20.82,81.23,4.17,31,2.18,1.34,28.69,25.09,4.78,4.13,6,Hurto
Comas,5.14,16.59,54.33,1.46,68,7.22,0.07,16.26,29.75,17.46,8.84,2,Pandillaje
Callao,8.16,33.66,61.52,1.71,88,7.78,8.58,25.66,45.18,14.06,3.82,2,Violencia Familiar
Comas,3.17,21.37,59.76,3.62,89,4.44,1.37,26.14,77.13,19.69,9.19,6,Homicidio
Callao,4.78,27.76,71.89,2.56,56,7.52,5.68,9.69,53.21,7.34,6.21,6,Robo
Cercado de Lima,13.74,25.75,43.07,1.55,70,2.96,9.3,5.49,65.67,2.0,5.02,11,Robo
San Juan de Lurigancho,10.74,11.54,58.25,3.29,37,8.08,7.68,5.19,65.07,16.85,6.2,19,Hurto
Comas,11.99,6.38,78.34,0.87,93,4.99,2.97,9.42,50.24,19.98,2.98,15,Robo
Los Olivos,11.31,25.97,80.02,1.7,68,6.5,8.68,25.19,63.82,2.43,2.01,6,Robo
Villa El Salvador,5.27,20.47,89.27,4.86,95,7.1,1.13,22.61,39.26,13.14,4.07,3,Violencia Familiar
Independencia,7.75,42.23,41.48,3.64,26,2.23,4.08,11.74,21.52,2.74,7.13,0,Asalto
Los Olivos,14.05,44.3,94.71,2.48,66,2.13,0.97,3.8,61.49,16.68,8.72,1,Hurto
Cercado de Lima,7.68,20.92,95.89,2.02,48,9.81,6.62,24.87,72.47,14.29,3.76,7,Asalto
San Juan de Lurigancho,3.2,10.59,82.94,4.88,79,4.59,0.77,20.78,77.49,5.65,4.79,13,Homicidio
Independencia,7.13,27.02,51.55,0.96,62,0.25,7.21,16.39,62.4,13.01,5.74,8,Robo
Cercado de Lima,15.8,34.1,92.18,1.35,36,0.57,5.88,25.53,21.22,1.93,6.15,13,Homicidio
Callao,8.94,28.85,56.45,0.62,50,2.6,8.38,22.04,68.09,17.97,7.2,8,Robo
Comas,14.5,39.34,97.76,3.33,51,3.43,3.29,18.86,42.56,15.76,1.64,17,Pandillaje
Villa María del Triunfo,15.71,39.03,57.17,3.38,80,4.32,0.33,28.71,34.69,15.99,7.97,23,Hurto
Cercado de Lima,11.22,5.59,95.27,4.89,99,9.12,1.47,20.09,36.3,3.98,7.15,10,Homicidio
Cercado de Lima,8.26,22.92,64.33,4.93,81,9.84,9.06,3.55,78.31,9.7,3.33,16,Homicidio
Villa El Salvador,19.1,13.22,76.82,1.5,19,4.53,9.46,20.95,41.11,4.58,3.73,21,Asalto
San Martín de Porres,4.78,21.92,87.73,1.14,21,4.52,7.34,25.52,58.15,2.65,3.13,17,Asalto
Callao,9.22,14.18,53.1,0.75,46,2.66,0.39,14.76,82.37,11.82,8.49,13,Asalto
Comas,14.76,31.97,98.8,4.94,57,2.44,7.99,5.0,74.65,18.29,4.45,11,Asalto
San Martín de Porres,4.33,27.94,45.9,2.52,42,1.75,8.75,22.65,37.7,2.28,3.41,17,Microcomercializacion Drogas
Villa María del Triunfo,15.23,6.12,62.52,3.32,56,0.96,8.98,28.19,88.59,17.5,2.57,5,Robo
Comas,18.51,12.09,40.42,4.12,76,2.65,6.63,29.03,84.11,10.55,8.16,21,Homicidio
Callao,4.05,34.37,71.3,1.46,28,8.16,3.78,4.48,43.96,19.65,6.67,18,Robo
Los Olivos,16.95,16.26,44.2,0.75,63,7.27,7.87,8.82,41.41,10.18,1.57,9,Pandillaje
Callao,15.8,25.0,47.67,3.12,66,9.96,4.75,24.85,50.24,16.13,6.36,9,Microcomercializacion Drogas
Ate,13.27,30.2,65.04,1.15,51,0.17,8.74,8.62,34.81,14.98,3.88,7,Microcomercializacion Drogas
Callao,6.27,33.69,79.86,2.05,71,6.9,9.45,19.7,50.47,10.98,2.8,6,Microcomercializacion Drogas
San Juan de Lurigancho,10.53,34.29,53.98,4.16,25,1.78,3.52,14.33,24.85,11.99,6.38,14,Microcomercializacion Drogas
San Juan de Lurigancho,12.2,7.12,82.07,0.75,25,3.59,9.96,15.45,54.01,11.75,9.25,13,Homicidio
Cercado de Lima,15.22,28.45,69.54,1.37,61,2.46,9.15,11.39,86.66,11.13,6.68,21,Homicidio
San Martín de Porres,5.54,42.2,67.52,1.32,54,2.2,1.65,13.38,84.86,14.5,4.77,5,Hurto
Cercado de Lima,19.74,31.66,57.12,3.14,66,4.3,3.06,28.94,87.51,6.5,5.32,0,Violencia Familiar
Comas,4.71,25.37,41.48,2.33,23,3.89,7.33,21.17,34.85,5.54,3.53,9,Homicidio
Cercado de Lima,4.76,33.1,57.97,1.71,65,6.8,8.25,6.11,31.18,16.01,6.55,0,Robo
Villa María del Triunfo,8.25,19.75,86.18,4.15,20,8.44,1.39,16.57,22.6,2.53,7.05,7,Hurto
Los Olivos,17.03,36.65,52.05,4.12,29,1.48,9.41,7.12,59.72,8.16,9.68,6,Violencia Familiar
Villa El Salvador,19.71,26.46,70.16,1.66,26,9.32,6.66,25.03,20.93,11.3,5.14,5,Violencia Familiar
Callao,11.55,35.61,69.12,1.17,96,5.37,8.6,7.96,62.54,2.59,6.79,4,Asalto
San Martín de Porres,7.3,37.15,89.07,4.91,30,2.07,7.35,26.26,56.46,13.72,8.34,19,Asalto
Cercado de Lima,17.55,8.97,45.44,1.68,46,4.48,1.02,2.45,63.13,19.26,9.13,14,Robo
Villa El Salvador,7.01,33.55,92.42,1.07,6,4.18,0.45,10.1,51.59,3.22,5.08,20,Robo
San Juan de Lurigancho,4.34,12.67,68.47,2.13,57,5.36,3.94,25.75,54.51,9.97,5.41,13,Robo
Independencia,9.86,18.33,69.52,3.08,90,9.08,6.05,16.78,59.02,19.59,7.96,10,Asalto
Cercado de Lima,5.9,22.89,52.63,3.6,98,5.44,5.52,11.98,51.31,19.34,4.4,16,Hurto
Villa María del Triunfo,10.78,35.38,52.36,3.69,60,2.38,4.89,10.01,70.59,18.96,9.25,14,Robo
Cercado de Lima,16.91,32.33,51.01,4.19,30,3.19,9.06,5.55,32.5,10.37,1.74,15,Robo
Villa María del Triunfo,15.49,17.86,42.08,1.07,36,7.02,6.59,29.7,38.55,13.77,1.47,20,Robo
San Juan de Lurigancho,16.37,25.39,58.0,1.18,30,6.67,2.01,26.64,33.65,6.96,6.59,19,Asalto
Comas,4.9,38.98,71.97,2.62,65,1.08,8.76,23.93,31.77,10.73,5.39,2,Homicidio
Los Olivos,3.86,7.52,51.24,0.65,20,7.46,9.96,20.64,54.54,18.54,1.14,22,Violencia Familiar
Ate,4.05,23.0,52.28,3.05,20,1.42,0.53,19.52,23.82,16.89,5.61,21,Robo
Ate,12.72,18.27,83.38,2.78,95,1.16,9.7,2.62,76.19,15.97,3.67,5,Hurto
Independencia,14.86,30.71,86.96,4.72,74,6.39,1.41,27.78,26.55,19.15,6.5,6,Asalto
Comas,11.87,15.51,86.04,4.67,81,3.16,7.89,21.09,82.21,14.16,3.19,3,Microcomercializacion Drogas
